Symbol,Price~,Exp Date,Type,Strike,Moneyness,Bid,Ask,Volume,Open Int,IV,Delta,ITM Prob,OTM Prob,Time
TSLA,275.14,5/16/2025,Call,310,-12.67%,17.1,17.25,1246,2256,67.10%,0.392907,32.04%,67.96%,15:55 ET
TSLA,275.14,5/16/2025,Call,360,-30.84%,6.85,7,1766,5473,67.01%,0.19541,14.62%,85.38%,15:55 ET
TSLA,275.14,5/16/2025,Call,380,-38.11%,4.75,4.9,672,3314,67.67%,0.145263,10.52%,89.48%,15:55 ET
TSLA,275.14,5/16/2025,Call,390,-41.75%,4,4.15,685,2823,67.92%,0.124598,8.89%,91.11%,15:55 ET
TSLA,275.14,5/16/2025,Call,400,-45.38%,3.4,3.5,4825,11478,68.78%,0.109097,7.67%,92.33%,15:55 ET
TSLA,275.14,5/16/2025,Call,420,-52.65%,2.45,2.5,1001,3163,69.72%,0.081531,5.57%,94.43%,15:50 ET
TSLA,275.14,5/16/2025,Call,425,-54.47%,2.27,2.34,977,1146,70.11%,0.07639,5.18%,94.82%,15:51 ET
TSLA,275.14,5/16/2025,Call,450,-63.55%,1.56,1.63,848,5576,71.70%,0.054646,3.59%,96.41%,15:53 ET
TSLA,275.14,5/16/2025,Call,465,-69.00%,1.25,1.32,549,652,72.57%,0.044826,2.89%,97.11%,14:45 ET
TSLA,275.14,5/16/2025,Call,500,-81.73%,0.78,0.85,1635,10289,74.48%,0.028582,1.77%,98.23%,15:52 ET
TSLA,275.14,5/16/2025,Call,960,-248.91%,0.02,0.03,1105,29090,99.57%,0.001118,0.05%,99.95%,15:53 ET
TSLA,275.14,4/17/2025,Call,280,-1.77%,18.65,18.8,9889,5866,67.90%,0.525881,46.00%,54.00%,15:55 ET
TSLA,275.14,4/17/2025,Call,290,-5.40%,14.35,14.5,6907,10263,67.39%,0.444724,38.04%,61.96%,15:55 ET
TSLA,275.14,4/17/2025,Call,300,-9.04%,10.85,11,22645,19220,66.83%,0.367138,30.69%,69.31%,15:55 ET
TSLA,275.14,4/17/2025,Call,305,-10.85%,9.4,9.55,2645,3875,66.69%,0.33096,27.34%,72.66%,15:55 ET
TSLA,275.14,4/17/2025,Call,315,-14.49%,6.95,7.1,1636,3743,66.69%,0.265697,21.44%,78.56%,15:55 ET
TSLA,275.14,4/17/2025,Call,320,-16.30%,6.05,6.15,5669,5095,66.81%,0.236864,18.90%,81.10%,15:55 ET
TSLA,275.14,4/17/2025,Call,325,-18.12%,5.2,5.25,2238,5690,66.93%,0.210361,16.59%,83.41%,15:55 ET
TSLA,275.14,4/17/2025,Call,330,-19.94%,4.45,4.55,4582,14670,67.01%,0.18598,14.50%,85.50%,15:55 ET
TSLA,275.14,4/17/2025,Call,335,-21.76%,3.85,3.95,1168,2794,67.39%,0.165085,12.73%,87.27%,15:55 ET
TSLA,275.14,4/17/2025,Call,340,-23.57%,3.3,3.4,1469,4211,67.36%,0.14454,11.02%,88.98%,15:55 ET
TSLA,275.14,4/17/2025,Call,345,-25.39%,2.85,2.93,1125,2146,67.99%,0.128743,9.72%,90.28%,15:55 ET
TSLA,275.14,4/17/2025,Call,350,-27.21%,2.48,2.54,7166,24727,68.31%,0.113438,8.47%,91.53%,15:55 ET
TSLA,275.14,4/17/2025,Call,355,-29.03%,2.16,2.22,809,15450,68.91%,0.100868,7.46%,92.54%,15:53 ET
TSLA,275.14,4/17/2025,Call,360,-30.84%,1.88,1.94,1314,3989,69.42%,0.08938,6.55%,93.45%,15:54 ET
TSLA,275.14,4/17/2025,Call,365,-32.66%,1.65,1.69,1195,3608,69.85%,0.078965,5.73%,94.27%,15:55 ET
TSLA,275.14,4/17/2025,Call,370,-34.48%,1.44,1.49,1507,4899,70.25%,0.069627,5.00%,95.00%,15:55 ET
TSLA,275.14,4/17/2025,Call,375,-36.29%,1.27,1.31,1155,2921,71.11%,0.062741,4.47%,95.53%,15:55 ET
TSLA,275.14,4/17/2025,Call,380,-38.11%,1.11,1.16,1322,6022,71.67%,0.055827,3.95%,96.05%,15:55 ET
TSLA,275.14,4/17/2025,Call,400,-45.38%,0.69,0.7,3143,19171,73.87%,0.035274,2.41%,97.59%,15:55 ET
TSLA,275.14,4/17/2025,Call,420,-52.65%,0.42,0.46,2108,5213,76.03%,0.022653,1.50%,98.50%,15:53 ET
TSLA,275.14,4/17/2025,Call,425,-54.47%,0.37,0.41,1242,4864,76.46%,0.020191,1.33%,98.67%,15:54 ET
TSLA,275.14,4/17/2025,Call,430,-56.28%,0.33,0.37,921,2765,76.68%,0.01775,1.16%,98.84%,15:51 ET
TSLA,275.14,4/17/2025,Call,440,-59.92%,0.26,0.3,2084,4346,78.32%,0.015042,0.97%,99.03%,15:49 ET
TSLA,275.14,4/17/2025,Call,445,-61.74%,0.23,0.28,793,1760,77.94%,0.012648,0.81%,99.19%,14:56 ET
TSLA,275.14,4/17/2025,Call,450,-63.55%,0.21,0.25,1856,10677,79.08%,0.012001,0.76%,99.24%,15:54 ET
TSLA,275.14,4/17/2025,Call,455,-65.37%,0.18,0.23,828,1180,78.67%,0.010049,0.63%,99.37%,15:30 ET
TSLA,275.14,4/17/2025,Call,460,-67.19%,0.16,0.19,900,3555,80.16%,0.009889,0.62%,99.38%,15:53 ET
TSLA,275.14,4/17/2025,Call,470,-70.82%,0.13,0.17,730,1751,80.71%,0.007821,0.48%,99.52%,12:37 ET
TSLA,275.14,4/17/2025,Call,475,-72.64%,0.12,0.14,537,4308,81.44%,0.007254,0.45%,99.55%,15:49 ET
TSLA,275.14,4/17/2025,Call,500,-81.73%,0.09,0.1,1395,17138,84.77%,0.005003,0.30%,99.70%,15:54 ET
TSLA,275.14,4/17/2025,Call,630,-128.97%,0.01,0.02,2200,987,99.40%,0.001079,0.06%,99.94%,14:31 ET
TSLA,275.14,6/20/2025,Call,350,-27.21%,13.35,13.5,2431,12996,63.18%,0.290459,21.89%,78.11%,15:55 ET
TSLA,275.14,6/20/2025,Call,360,-30.84%,11.6,11.75,978,6551,63.12%,0.259897,19.29%,80.71%,15:49 ET
TSLA,275.14,6/20/2025,Call,380,-38.11%,8.75,8.9,536,9225,63.38%,0.207963,14.97%,85.03%,15:55 ET
TSLA,275.14,6/20/2025,Call,400,-45.38%,6.6,6.75,5276,27249,63.91%,0.166585,11.65%,88.35%,15:55 ET
TSLA,275.14,6/20/2025,Call,420,-52.65%,5.1,5.25,1626,11112,64.42%,0.133119,9.06%,90.94%,15:55 ET
TSLA,275.14,6/20/2025,Call,450,-63.55%,3.5,3.6,2174,14393,65.41%,0.095953,6.28%,93.72%,15:55 ET
TSLA,275.14,6/20/2025,Call,480,-74.46%,2.46,2.53,1103,7963,66.52%,0.070083,4.42%,95.58%,15:52 ET
TSLA,275.14,6/20/2025,Call,490,-78.09%,2.2,2.28,513,1591,66.97%,0.063528,3.96%,96.04%,15:51 ET
TSLA,275.14,6/20/2025,Call,500,-81.73%,1.97,2.02,3134,24496,67.38%,0.057561,3.55%,96.45%,15:55 ET
TSLA,275.14,6/20/2025,Call,600,-118.07%,0.77,0.81,553,11358,71.73%,0.024037,1.34%,98.66%,15:47 ET
TSLA,275.14,6/20/2025,Call,700,-154.42%,0.33,0.39,769,5977,75.67%,0.011614,0.60%,99.40%,15:54 ET
TSLA,275.14,6/20/2025,Call,960,-248.91%,0.05,0.09,939,36230,83.44%,0.002618,0.11%,99.89%,15:10 ET
TSLA,275.14,3/28/2025,Call,275,0.05%,10.35,10.5,106095,17303,75.13%,0.575066,50.26%,49.74%,15:55 ET
TSLA,275.14,3/28/2025,Call,277.5,-0.86%,9.1,9.2,26562,3132,76.01%,0.529595,45.73%,54.27%,15:55 ET
TSLA,275.14,3/28/2025,Call,272.5,0.96%,11.9,12.05,56815,15009,76.78%,0.618127,54.77%,45.23%,15:55 ET
TSLA,275.14,3/28/2025,Call,280,-1.77%,7.8,7.9,96372,11183,74.78%,0.483885,41.15%,58.85%,15:55 ET
TSLA,275.14,3/28/2025,Call,270,1.87%,13.45,13.55,96150,19206,77.04%,0.660609,59.24%,40.76%,15:55 ET
TSLA,275.14,3/28/2025,Call,282.5,-2.68%,6.75,6.9,23768,1466,74.40%,0.43834,36.73%,63.27%,15:55 ET
TSLA,275.14,3/28/2025,Call,267.5,2.78%,15.25,15.4,20334,3017,78.23%,0.699392,63.45%,36.55%,15:55 ET
TSLA,275.14,3/28/2025,Call,285,-3.58%,5.75,5.8,41762,4290,74.17%,0.393818,32.51%,67.49%,15:55 ET
TSLA,275.14,3/28/2025,Call,265,3.69%,17.05,17.2,44992,6566,78.49%,0.737455,67.62%,32.38%,15:55 ET
TSLA,275.14,3/28/2025,Call,287.5,-4.49%,4.9,5,11406,767,75.08%,0.35334,28.80%,71.20%,15:55 ET
TSLA,275.14,3/28/2025,Call,262.5,4.59%,19,19.15,19492,5388,79.94%,0.769978,71.29%,28.71%,15:55 ET
TSLA,275.14,3/28/2025,Call,290,-5.40%,4.1,4.2,54578,12690,74.23%,0.311019,24.92%,75.08%,15:55 ET
TSLA,275.14,3/28/2025,Call,260,5.50%,20.95,21.1,41938,19117,82.35%,0.79691,74.43%,25.57%,15:55 ET
TSLA,275.14,3/28/2025,Call,292.5,-6.31%,3.45,3.55,14091,564,74.06%,0.272605,21.50%,78.50%,15:55 ET
TSLA,275.14,3/28/2025,Call,295,-7.22%,2.93,2.95,32302,2464,74.46%,0.238706,18.56%,81.44%,15:55 ET
TSLA,275.14,3/28/2025,Call,255,7.32%,25.1,25.25,12599,4979,84.33%,0.849228,80.54%,19.46%,15:55 ET
