Symbol,Price~,Exp Date,Type,Strike,Moneyness,Bid,Ask,Volume,Open Int,IV,Delta,ITM Prob,OTM Prob,Time
AMDL,6.41,6/20/2025,Call,8,-24.80%,0.5,0.6,724,2838,84.69%,0.373604,29.71%,70.29%,15:36 ET
AMDL,6.41,9/19/2025,Call,10,-56.01%,0.6,0.65,690,1466,83.50%,0.327059,22.35%,77.65%,15:55 ET
AMDL,6.41,9/19/2025,Call,15,-134.01%,0.25,0.3,20319,907,93.56%,0.17055,9.72%,90.28%,15:49 ET
AMDL,6.41,4/17/2025,Call,6,6.40%,0.65,0.75,801,1497,85.26%,0.648656,61.88%,38.12%,15:49 ET
AMDL,6.41,4/17/2025,Call,7,-9.20%,0.25,0.3,1454,1469,79.00%,0.357248,33.19%,66.81%,15:55 ET
BBAI,3.53,1/16/2026,Call,3.5,0.85%,1.4,1.45,714,9652,113.38%,0.713205,50.33%,49.67%,15:48 ET
BBAI,3.53,1/16/2026,Call,3,15.01%,1.55,1.6,900,4707,110.52%,0.759764,56.47%,43.53%,15:54 ET
BBAI,3.53,1/16/2026,Call,5,-41.64%,1.05,1.15,1703,12265,115.53%,0.590877,36.94%,63.06%,15:55 ET
BBAI,3.53,4/11/2025,Call,3.5,0.85%,0.4,0.45,1034,1872,120.50%,0.581333,51.27%,48.73%,15:50 ET
BBAI,3.53,6/20/2025,Call,3.5,0.85%,0.8,0.9,765,2879,118.05%,0.632048,50.59%,49.41%,15:23 ET
BBAI,3.53,6/20/2025,Call,3,15.01%,1.05,1.15,958,2456,113.71%,0.727268,61.46%,38.54%,15:09 ET
BBAI,3.53,3/28/2025,Call,3.5,0.85%,0.25,0.3,13957,1872,154.77%,0.5749,52.10%,47.90%,15:55 ET
BBAI,3.53,3/28/2025,Call,4,-13.31%,0.05,0.1,4110,2582,159.03%,0.269614,22.64%,77.36%,15:53 ET
BBAI,3.53,3/28/2025,Call,3,15.01%,0.6,0.65,4602,2135,153.88%,0.874114,84.37%,15.63%,15:54 ET
BBAI,3.53,3/28/2025,Call,4.5,-27.48%,0,0.05,698,2117,181.60%,0.128173,10.08%,89.92%,15:53 ET
BBAI,3.53,4/4/2025,Call,3.5,0.85%,0.35,0.4,9144,753,146.44%,0.578912,51.34%,48.66%,15:53 ET
BBAI,3.53,4/4/2025,Call,4,-13.31%,0.15,0.2,2360,4160,145.16%,0.37019,30.99%,69.01%,15:52 ET
BBAI,3.53,4/4/2025,Call,3,15.01%,0.6,0.7,660,2753,137.11%,0.800568,75.29%,24.71%,15:55 ET
BBAI,3.53,1/15/2027,Call,3.5,0.85%,1.8,1.9,619,20317,99.48%,0.769504,50.25%,49.75%,15:50 ET
BBAI,3.53,9/19/2025,Call,4,-13.31%,0.95,1.05,500,994,115.11%,0.612094,43.84%,56.16%,15:52 ET
BBAI,3.53,9/19/2025,Call,5,-41.64%,0.75,0.85,1367,828,119.98%,0.516354,33.93%,66.07%,15:54 ET
BBAI,3.53,5/16/2025,Call,3.5,0.85%,0.65,0.75,950,1453,122.26%,0.611419,50.73%,49.27%,15:48 ET
BBAI,3.53,4/17/2025,Call,3.5,0.85%,0.45,0.5,805,2966,129.33%,0.589265,51.03%,48.97%,15:54 ET
BBAI,3.53,4/17/2025,Call,4,-13.31%,0.25,0.3,1576,4515,123.36%,0.420228,34.64%,65.36%,15:47 ET
BBAI,3.53,4/17/2025,Call,5,-41.64%,0.1,0.15,666,3058,128.54%,0.195668,14.54%,85.46%,15:51 ET
BBAI,3.53,3/28/2025,Put,3,-15.01%,0.05,0.1,1646,3841,200.84%,-0.178459,21.95%,78.05%,15:52 ET
BBAI,3.53,4/4/2025,Put,3,-15.01%,0.1,0.15,790,666,161.50%,-0.225192,28.09%,71.91%,15:33 ET
BBAI,3.53,4/17/2025,Put,3,-15.01%,0.2,0.25,1003,2474,127.66%,-0.243826,30.96%,69.04%,15:46 ET
BITF,1.0898,8/15/2025,Call,1.5,-37.64%,0.15,0.2,1233,6726,102.72%,0.4476,31.02%,68.98%,15:24 ET
BITF,1.0898,1/15/2027,Call,2.5,-129.40%,0.31,0.32,2299,2691,94.56%,0.519727,25.72%,74.28%,12:01 ET
BITF,1.0898,5/16/2025,Call,1.5,-37.64%,0.06,0.07,2820,13333,101.22%,0.275921,20.37%,79.63%,15:38 ET
BITF,1.0898,4/17/2025,Call,1.5,-37.64%,0.01,0.03,1114,2286,116.49%,0.189564,14.24%,85.76%,15:53 ET
BITF,1.0898,1/16/2026,Call,2,-83.52%,0.19,0.2,645,14284,96.81%,0.418256,24.38%,75.62%,15:37 ET
BITF,1.0898,3/28/2025,Call,1,8.24%,0.11,0.14,505,703,127.93%,0.782979,73.96%,26.04%,15:45 ET
CMCSA,36.63,6/20/2025,Call,37.5,-2.38%,1.39,1.56,1212,8178,25.41%,0.452885,42.54%,57.46%,15:08 ET
