contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
AMC250328C00000500,2025-03-21 14:02:00+00:00,0.5,2.57,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.02498972813819836,0.0,4.1079005158682235e-05
AMC250328C00001000,2025-03-21 14:05:54+00:00,1.0,1.98,0.0,0.0,0.0,0.0,6,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.04997945627639672,0.0,8.215801031736447e-05
AMC250328C00001500,2025-03-21 19:44:10+00:00,1.5,1.54,0.0,0.0,0.0,0.0,14,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.07496918441459509,0.0,0.00012323701547604669
AMC250328C00002000,2025-03-21 19:52:51+00:00,2.0,1.02,0.0,0.0,0.0,0.0,17,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.09995891255279345,0.0,0.00016431602063472894
AMC250328C00002500,2025-03-21 19:45:55+00:00,2.5,0.54,0.0,0.0,0.0,0.0,65,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.1249486406909918,0.0,0.00020539502579341117
AMC250328C00003000,2025-03-21 19:59:37+00:00,3.0,0.11,0.0,0.0,0.0,0.0,4251,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.14993836882919018,0.0,0.00024647403095209337
AMC250328C00003500,2025-03-21 19:59:47+00:00,3.5,0.03,0.0,0.0,0.0,0.0,5291,0,0.500005,False,REGULAR,USD,0.0010465778808519614,0.025476085447576718,-0.02958766200096876,9.67570437375693e-06,2.5824695032887195e-07
AMC250328C00004000,2025-03-21 19:58:58+00:00,4.0,0.02,0.0,0.0,0.0,0.0,540,0,0.500005,False,REGULAR,USD,8.590937203772492e-10,3.852949125204881e-08,-4.463981117411405e-08,1.4633330061370897e-11,2.1312954573402843e-13
AMC250328C00004500,2025-03-21 19:56:58+00:00,4.5,0.02,0.0,0.0,0.0,0.0,58,0,0.500005,False,REGULAR,USD,3.3256065177559218e-18,2.10772203376066e-16,-2.43991827302146e-16,8.00503489544612e-20,8.267085493904787e-22
AMC250328C00005000,2025-03-21 19:57:55+00:00,5.0,0.01,0.0,0.0,0.0,0.0,1410,0,0.500005,False,REGULAR,USD,3.5092138160123783e-28,2.8100744051027445e-26,-3.2515751509135857e-26,1.067253808203147e-29,8.732638891530073e-32
AMC250328C00005500,2025-03-19 14:20:05+00:00,5.5,0.01,0.0,0.0,0.0,0.0,18,0,0.500005,False,REGULAR,USD,3.278420740698738e-39,3.122110963172245e-37,-3.611700770400355e-37,1.1857639103888935e-40,8.1635221619677e-43
AMC250328C00006000,2025-03-21 19:47:06+00:00,6.0,0.01,0.0,0.0,0.0,0.0,216,0,0.500005,False,REGULAR,USD,6.02195849172827e-51,6.569482443385839e-49,-7.598343688601985e-49,2.4950603239884315e-52,1.5001608305183914e-54
AMC250328C00006500,2025-03-21 19:38:52+00:00,6.5,0.01,0.0,0.0,0.0,0.0,12,0,0.500005,False,REGULAR,USD,3.775002548952138e-63,4.600057674138923e-61,-5.319815381667779e-61,1.7470815227397418e-64,9.407029487257628e-67
AMC250328C00007000,2025-03-21 19:59:21+00:00,7.0,0.01,0.0,0.0,0.0,0.0,774,0,0.500005,False,REGULAR,USD,1.190999537991276e-75,1.5921451538976313e-73,-1.8410887091989276e-73,6.0468967498649004e-77,2.968583787517611e-79
