contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
AMC250328P00000500,2025-03-21 14:02:00+00:00,0.5,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-0.0,0.0,0.0,0.0,-0.0
AMC250328P00001000,2025-03-18 14:13:38+00:00,1.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-1.7058738895271098e-133,3.0452567410748134e-131,-3.515353149819506e-131,1.1565750173613526e-134,-4.2702035255662326e-137
AMC250328P00001500,2025-03-06 17:36:33+00:00,1.5,0.01,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,-2.8790280534281475e-55,3.2755778625548275e-53,-3.779634370579119e-53,1.2440499587945057e-56,-7.214400997943526e-59
AMC250328P00002000,2025-03-21 14:18:58+00:00,2.0,0.02,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,-9.42961422790368e-21,6.41449362195581e-19,-7.395769153316144e-19,2.436196256332519e-22,-2.3674346298189663e-24
AMC250328P00002500,2025-03-21 19:36:12+00:00,2.5,0.01,0.0,0.0,0.0,0.0,64.0,0,0.500005,False,REGULAR,USD,-6.932346535415731e-06,0.00022921633335295157,-0.00026373213469062484,8.705534779758087e-08,-1.748815551527339e-09
AMC250328P00003000,2025-03-21 19:59:56+00:00,3.0,0.06,0.0,0.0,0.0,0.0,966.0,0,0.062509375,False,REGULAR,USD,-0.007920234082192229,1.261166034674719,-0.02156474047661984,5.988154115909152e-05,-1.9826886641983146e-06
AMC250328P00003500,2025-03-21 19:02:32+00:00,3.5,0.49,0.0,0.0,0.0,0.0,192.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.17492809696738854,0.0,-0.00028755303611077563
AMC250328P00004000,2025-03-21 19:45:17+00:00,4.0,0.97,0.0,0.0,0.0,0.0,38.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.1999178251055869,0.0,-0.0003286320412694579
AMC250328P00004500,2025-03-21 17:18:02+00:00,4.5,1.49,0.0,0.0,0.0,0.0,30.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.22490755324378525,0.0,-0.0003697110464281401
AMC250328P00005000,2025-03-19 18:33:02+00:00,5.0,1.97,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.2498972813819836,0.0,-0.00041079005158682234
AMC250328P00005500,2025-03-21 16:39:59+00:00,5.5,2.55,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.27488700952018197,0.0,-0.00045186905674550454
AMC250328P00006000,2025-02-28 19:36:35+00:00,6.0,2.71,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.29987673765838035,0.0,-0.0004929480619041867
AMC250328P00007000,2025-03-06 14:30:06+00:00,7.0,3.99,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.34985619393477707,0.0,-0.0005751060722215513
