contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
MCHP250328C00036000,2025-03-21 16:24:16+00:00,36.0,15.37,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-1.799260425950282,0.0,0.0029576883714251207
MCHP250328C00037000,2025-03-18 17:19:02+00:00,37.0,17.3,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-1.849239882226679,0.0,0.0030398463817424854
MCHP250328C00045000,2025-03-10 18:59:14+00:00,45.0,8.7,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-2.2490755324378524,0.0,0.003697110464281401
MCHP250328C00046000,2025-03-21 16:24:16+00:00,46.0,5.52,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-2.2990549887142495,0.0,0.0037792684745987654
MCHP250328C00047000,2025-03-06 15:48:31+00:00,47.0,13.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-2.349034444990646,0.0,0.00386142648491613
MCHP250328C00048000,2025-03-21 14:04:33+00:00,48.0,3.6,0.0,0.0,0.0,0.0,25.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-2.399013901267043,0.0,0.003943584495233494
MCHP250328C00049000,2025-03-10 16:27:33+00:00,49.0,6.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-2.4489933575434395,0.0,0.004025742505550859
MCHP250328C00050000,2025-03-20 16:01:43+00:00,50.0,2.84,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-2.498972813819836,0.0,0.004107900515868223
MCHP250328C00051000,2025-03-21 17:57:22+00:00,51.0,1.85,0.0,0.0,0.0,0.0,234.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-2.5489522700962333,0.0,0.004190058526185588
MCHP250328C00052000,2025-03-21 18:50:03+00:00,52.0,1.41,0.0,0.0,0.0,0.0,609.0,0,0.015634843750000002,False,REGULAR,USD,0.00021706623940788512,0.011158985983701387,-0.00420950421930626,3.835868590477688e-05,9.224123574780278e-07
MCHP250328C00053000,2025-03-21 19:59:30+00:00,53.0,0.75,0.0,0.0,0.0,0.0,713.0,0,0.062509375,False,REGULAR,USD,1.124737127269101e-05,0.00017089823571662778,-0.0009221808722708787,2.3487034140848993e-06,4.775393788892815e-08
MCHP250328C00054000,2025-03-21 18:24:10+00:00,54.0,0.48,0.0,0.0,0.0,0.0,58.0,0,0.12500875,False,REGULAR,USD,8.343380448027048e-05,0.0005695955246643223,-0.012120319962040453,1.5654976647268795e-05,3.537230166882521e-07
MCHP250328C00055000,2025-03-21 19:40:17+00:00,55.0,0.35,0.0,0.0,0.0,0.0,66.0,0,0.12500875,False,REGULAR,USD,3.651028153496931e-08,3.462128486120019e-07,-7.330437363708043e-06,9.515443547769126e-09,1.548969865119301e-10
MCHP250328C00056000,2025-03-21 18:05:37+00:00,56.0,0.17,0.0,0.0,0.0,0.0,9.0,0,0.12500875,False,REGULAR,USD,1.5462530172511715e-12,1.8759784385155455e-11,-3.9609135592080584e-10,5.15600937402874e-13,6.56279139036677e-15
MCHP250328C00057000,2025-03-21 19:48:57+00:00,57.0,0.11,0.0,0.0,0.0,0.0,71.0,0,0.2500075,False,REGULAR,USD,1.0254874037108967e-05,3.913246963537202e-05,-0.0032977664649077826,2.1509768555572836e-06,4.3382507554048265e-08
MCHP250328C00058000,2025-03-21 19:40:22+00:00,58.0,0.1,0.0,0.0,0.0,0.0,70.0,0,0.2500075,False,REGULAR,USD,2.4964325024126467e-07,1.1099853565363237e-06,-9.343483923333379e-05,6.101206578996516e-08,1.0567761680987728e-09
MCHP250328C00059000,2025-03-17 17:25:43+00:00,59.0,0.42,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,3.7175665440264467e-09,1.8852244470743058e-08,-1.5855779733343581e-06,1.0362428415512546e-09,1.574472311591113e-11
MCHP250328C00060000,2025-03-21 19:03:25+00:00,60.0,0.06,0.0,0.0,0.0,0.0,8.0,0,0.2500075,False,REGULAR,USD,3.46154783358194e-11,1.9693148842579385e-10,-1.6552192786150072e-08,1.0824644538954427e-11,1.466608363010283e-13
MCHP250328C00061000,2025-03-17 16:43:23+00:00,61.0,0.2,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,2.0596566129109389e-13,1.2974797149478535e-12,-1.0899704618634819e-10,7.131798384851319e-14,8.729181376240744e-16
MCHP250328C00062000,2025-03-21 19:59:30+00:00,62.0,0.05,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,3.630354123293771e-05,6.495364530263708e-05,-0.021811896605960092,7.140412799903393e-06,1.5275148279113572e-07
MCHP250328C00063000,2025-03-21 13:30:09+00:00,63.0,0.09,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,7.782064511969423e-06,1.5043321089751423e-05,-0.0050500663345865995,1.653725852672917e-06,3.2766956512533566e-08
MCHP250328C00064000,2025-03-11 19:41:10+00:00,64.0,0.2,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,1.5210048298440541e-06,3.1568314789478303e-06,-0.0010594685921920181,3.470333311454945e-07,6.40819894901387e-09
MCHP250328C00065000,2025-03-18 17:10:27+00:00,65.0,0.13,0.0,0.0,0.0,0.0,56.0,0,0.500005,False,REGULAR,USD,2.7216455036121403e-07,6.032087718079323e-07,-0.00020239676574782182,6.631128422682223e-08,1.1472754898777365e-09
MCHP250328C00066000,2025-03-12 14:22:47+00:00,66.0,0.16,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,4.4762685733475936e-08,1.0544132795151917e-07,-3.5371943562889176e-05,1.1591260263159885e-08,1.887797725120851e-10
MCHP250328C00067000,2025-02-28 14:55:33+00:00,67.0,0.5,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,6.792661714119915e-09,1.693500089171301e-08,-5.680100540007387e-06,1.8616799191200062e-09,2.8658893018896862e-11
MCHP250328C00068000,2025-03-05 20:25:18+00:00,68.0,0.45,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,9.545375545855712e-10,2.509507268080266e-09,-8.415711037413413e-07,2.758723969218619e-10,4.028775866199919e-12
MCHP250328C00069000,2025-03-11 17:05:40+00:00,69.0,0.1,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,1.2465175311578368e-10,3.444443294670687e-10,-1.1549424834762451e-07,3.7865075740113166e-11,5.262869732490896e-13
MCHP250328C00070000,2025-03-19 15:36:10+00:00,70.0,0.01,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD,1.5177939820896918e-11,4.395241724550435e-11,-1.4735650563301882e-08,4.831728861778789e-12,6.410133200852093e-14
