contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
MCHP250328P00042000,2025-03-11 14:34:58+00:00,42.0,0.2,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,-1.8808374058948735e-06,3.869795543111604e-06,-0.0012890604591512171,4.2541011363255005e-07,-8.06834417328098e-09
MCHP250328P00043000,2025-03-12 15:53:26+00:00,43.0,0.2,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,-2.0211926893939497e-05,3.729336623618058e-05,-0.012417229127539378,4.099693379541511e-06,-8.678838505152848e-08
MCHP250328P00044000,2025-03-14 16:42:38+00:00,44.0,0.13,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,-3.986011878584686e-13,2.4809320657675456e-12,-2.063657047436742e-10,1.3636827686572303e-13,-1.6996243160190062e-15
MCHP250328P00045000,2025-03-20 16:47:38+00:00,45.0,0.1,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,-3.4114945752206367e-10,1.840579840105982e-09,-1.5298250467507132e-07,1.0117032412630288e-10,-1.4553082132370987e-12
MCHP250328P00045500,2025-03-21 16:21:11+00:00,45.5,0.1,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,-6.6322025979997e-09,3.3091770232444365e-08,-2.7491724300232972e-06,1.8189404487537811e-09,-2.829998621542806e-11
MCHP250328P00046000,2025-03-20 13:35:20+00:00,46.0,0.14,0.0,0.0,0.0,0.0,100.0,0,0.2500075,False,REGULAR,USD,-9.941080803087577e-08,4.562872436975368e-07,-3.788632867024731e-05,2.5080535673431618e-08,-4.2432377951239536e-10
MCHP250328P00046500,2025-03-21 17:00:49+00:00,46.5,0.08,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD,-1.15932022246943e-06,4.865117139542301e-06,-0.0004037001053618556,2.674187053421081e-07,-4.950208204435777e-09
MCHP250328P00047000,2025-03-21 19:44:15+00:00,47.0,0.15,0.0,0.0,0.0,0.0,70.0,0,0.2500075,False,REGULAR,USD,-1.0612995971249585e-05,4.0432478403002856e-05,-0.003352473674701316,2.222433852706983e-06,-4.5335684660411215e-08
MCHP250328P00047500,2025-03-21 14:50:31+00:00,47.5,0.3,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD,-7.694444107737902e-05,0.00026391454197435214,-0.02186253935518985,1.4506471912488484e-05,-3.288469087683112e-07
MCHP250328P00048000,2025-03-21 14:37:59+00:00,48.0,0.35,0.0,0.0,0.0,0.0,6.0,0,0.12500875,False,REGULAR,USD,-1.699354214845785e-11,1.9635503679111322e-10,-4.060006873724647e-09,5.396695343331626e-12,-7.235748799395636e-14
MCHP250328P00048500,2025-03-21 19:49:59+00:00,48.5,0.25,0.0,0.0,0.0,0.0,20.0,0,0.12500875,False,REGULAR,USD,-5.523998144665644e-09,5.5408548877626756e-08,-1.143784333075827e-06,1.5228693014213756e-09,-2.3526453606357746e-11
MCHP250328P00049000,2025-03-21 19:41:19+00:00,49.0,0.35,0.0,0.0,0.0,0.0,42.0,0,0.12500875,False,REGULAR,USD,-7.591584044431331e-07,6.47802898573785e-06,-0.0001334300525907699,1.7804457391378205e-07,-3.2342235404945077e-09
MCHP250328P00049500,2025-03-21 16:06:37+00:00,49.5,0.61,0.0,0.0,0.0,0.0,6.0,0,0.12500875,False,REGULAR,USD,-4.557715542245442e-05,0.00032212316778451226,-0.006614538830369016,8.853353741117717e-06,-1.9425232917440026e-07
