contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
META250328C00180000,2025-02-19 20:51:08+00:00,180.0,522.6,414.8,417.8,0.0,0.0,,1,3.41406396484375,True,REGULAR,USD,0.999971592437092,6.542091486421256e-07,-10.350852226453322,6.526396290801804e-05,0.014786946110662592
META250328C00200000,2025-03-21 16:54:07+00:00,200.0,394.86,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-9.995891255279345,0.0,0.016431602063472894
META250328C00210000,2025-03-04 17:40:57+00:00,210.0,421.95,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-10.495685818043311,0.0,0.017253182166646536
META250328C00290000,2025-03-06 14:31:27+00:00,290.0,356.0,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-14.49404232015505,0.0,0.023825822992035697
META250328C00300000,2025-03-21 16:54:07+00:00,300.0,294.95,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-14.993836882919016,0.0,0.02464740309520934
META250328C00320000,2025-03-12 13:31:01+00:00,320.0,308.55,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-15.993426008446951,0.0,0.02629056330155663
META250328C00330000,2025-03-17 19:40:51+00:00,330.0,276.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-16.49322057121092,0.0,0.027112143404730275
META250328C00360000,2025-03-10 13:30:12+00:00,360.0,248.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-17.99260425950282,0.0,0.02957688371425121
META250328C00370000,2025-03-12 17:20:20+00:00,370.0,252.52,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-18.492398822266786,0.0,0.030398463817424854
META250328C00380000,2025-03-07 16:26:33+00:00,380.0,228.37,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-18.992193385030756,0.0,0.031220043920598496
META250328C00390000,2025-03-21 17:15:54+00:00,390.0,204.97,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-19.491987947794723,0.0,0.03204162402377214
META250328C00400000,2025-03-21 18:04:10+00:00,400.0,195.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-19.99178251055869,0.0,0.03286320412694579
META250328C00410000,2025-03-18 19:35:54+00:00,410.0,172.98,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-20.491577073322656,0.0,0.03368478423011943
META250328C00430000,2025-03-20 19:58:52+00:00,430.0,156.57,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-21.49116619885059,0.0,0.03532794443646672
META250328C00440000,2025-03-21 19:13:31+00:00,440.0,154.42,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-21.99096076161456,0.0,0.03614952453964037
META250328C00445000,2025-03-19 13:33:26+00:00,445.0,139.52,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-22.240858042996543,0.0,0.03656031459122719
META250328C00450000,2025-03-21 16:20:20+00:00,450.0,144.38,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-22.490755324378526,0.0,0.036971104642814015
META250328C00455000,2025-03-07 18:32:09+00:00,455.0,162.72,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-22.74065260576051,0.0,0.037381894694400834
META250328C00460000,2025-03-21 17:53:53+00:00,460.0,135.15,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-22.990549887142492,0.0,0.037792684745987654
META250328C00465000,2025-03-21 16:31:36+00:00,465.0,128.78,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-23.240447168524476,0.0,0.03820347479757448
META250328C00470000,2025-03-19 15:33:51+00:00,470.0,111.93,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-23.49034444990646,0.0,0.0386142648491613
META250328C00475000,2025-03-21 13:51:01+00:00,475.0,113.65,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-23.740241731288442,0.0,0.03902505490074812
META250328C00480000,2025-03-13 16:14:31+00:00,480.0,114.75,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-23.990139012670426,0.0,0.039435844952334945
