contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
META250328P00180000,2025-03-21 17:35:23+00:00,180.0,0.01,0.0,0.0,0.0,0.0,96.0,0,0.500005,False,REGULAR,USD,-1.6661224202652442e-154,1.6330154756214182e-154,-7.25216908457919e-150,2.3858867320405428e-153,-8.179116874893458e-156
META250328P00220000,2025-02-28 16:28:35+00:00,220.0,0.02,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,-8.013088334450151e-108,6.5436554905613444e-108,-2.9056162848888e-103,9.560485523282321e-107,-3.93502726527028e-109
META250328P00230000,2025-03-07 15:11:47+00:00,230.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-1.245384391037066e-98,9.719189307633222e-99,-4.315501196367625e-94,1.4200039841293144e-97,-6.116351474340598e-100
META250328P00240000,2025-03-21 16:29:23+00:00,240.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-3.199579106753834e-90,2.386120599442925e-90,-1.0594394732251218e-85,3.486196894180146e-89,-1.5715385263982583e-91
META250328P00250000,2025-03-12 13:30:10+00:00,250.0,0.09,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-1.6319381245014222e-82,1.1627999537547737e-82,-5.162623377827203e-78,1.6988871343213402e-81,-8.016433233768683e-84
META250328P00260000,2025-03-06 15:32:54+00:00,260.0,0.04,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,-1.9369050439002017e-75,1.3182663889311448e-75,-5.8526065377301366e-71,1.926028463048672e-74,-9.51554094574055e-77
META250328P00270000,2025-02-07 16:30:58+00:00,270.0,0.01,0.0,0.45,0.0,0.0,2.0,1,2.6718783203125005,False,REGULAR,USD,-0.00034516275752540404,8.725198124947443e-06,-11.061266129826723,0.0006812039346957314,-1.8037021138550437e-05
META250328P00280000,2025-02-24 19:13:57+00:00,280.0,0.04,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-5.88054942415283e-63,3.647772655297228e-63,-1.6193176408440375e-58,5.329510044270771e-62,-2.8896573392433373e-64
META250328P00290000,2025-03-05 14:30:00+00:00,290.0,0.04,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-1.8898375165765482e-57,1.1183593315999023e-57,-4.964355235996122e-53,1.6339579941228454e-56,-9.28771893126797e-59
META250328P00300000,2025-03-21 16:49:14+00:00,300.0,0.01,0.0,0.0,0.0,0.0,20.0,0,0.500005,False,REGULAR,USD,-2.2412737621723885e-52,1.264564098175224e-52,-5.613039757355967e-48,1.847567735084059e-51,-1.1016384180803188e-53
META250328P00320000,2025-03-21 16:35:12+00:00,320.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,-2.195704710483542e-43,1.1237303396021307e-43,-4.987306747633509e-39,1.6418052049555067e-42,-1.079565317447924e-44
META250328P00330000,2025-03-20 16:49:13+00:00,330.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-2.0896898641042328e-39,1.0172716656725812e-39,-4.514518892714303e-35,1.4862657496159992e-38,-1.027611443985561e-40
META250328P00340000,2025-03-17 14:08:45+00:00,340.0,0.02,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,-9.764171558165811e-36,4.5167482834662514e-36,-2.0043280893940555e-31,6.599110640631387e-35,-4.802415495106993e-37
META250328P00350000,2025-03-21 14:29:25+00:00,350.0,0.01,0.0,0.0,0.0,0.0,33.0,0,0.500005,False,REGULAR,USD,-2.3642278770580706e-32,1.0380844548487176e-32,-4.606187343851114e-28,1.516673886154451e-31,-1.163045265651189e-33
META250328P00360000,2025-03-13 16:42:31+00:00,360.0,0.06,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD,-3.114732140368265e-29,1.2965197957896327e-29,-5.752429909504186e-25,1.8942560096837255e-28,-1.5325594910860147e-30
META250328P00370000,2025-03-14 16:32:29+00:00,370.0,0.03,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD,-2.3334825355625192e-26,9.195596739133246e-27,-4.0795504986113324e-22,1.3435054707454322e-25,-1.1484120324534855e-27
