contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
SNAP250328C00006000,2025-03-19 18:49:06+00:00,6.0,3.1,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.29987673765838035,0.0,0.0004929480619041867
SNAP250328C00006500,2025-03-20 13:54:58+00:00,6.5,2.82,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.3248664657965787,0.0,0.000534027067062869
SNAP250328C00007000,2025-03-21 14:02:03+00:00,7.0,2.27,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.34985619393477707,0.0,0.0005751060722215513
SNAP250328C00007500,2025-03-21 17:01:38+00:00,7.5,1.75,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.3748459220729754,0.0,0.0006161850773802335
SNAP250328C00008000,2025-03-21 19:54:30+00:00,8.0,1.3,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.3998356502111738,0.0,0.0006572640825389158
SNAP250328C00008500,2025-03-21 19:48:56+00:00,8.5,0.86,0.0,0.0,0.0,0.0,49.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.4248253783493722,0.0,0.0006983430876975979
SNAP250328C00009000,2025-03-21 19:56:58+00:00,9.0,0.46,0.0,0.0,0.0,0.0,1104.0,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-0.4498151064875705,0.0,0.0007394220928562802
SNAP250328C00009500,2025-03-21 19:59:13+00:00,9.5,0.19,0.0,0.0,0.0,0.0,10711.0,0,0.062509375,False,REGULAR,USD,0.0009325594657255339,0.05972693384624829,-0.010592024283668384,2.6712039458371908e-05,7.140178524923922e-07
SNAP250328C00010000,2025-03-21 19:59:50+00:00,10.0,0.06,0.0,0.0,0.0,0.0,4848.0,0,0.2500075,False,REGULAR,USD,0.0012217879290437026,0.019130890266619696,-0.05261081982186512,3.421999081196198e-05,9.309959039870869e-07
SNAP250328C00010500,2025-03-21 19:59:19+00:00,10.5,0.03,0.0,0.0,0.0,0.0,2444.0,0,0.2500075,False,REGULAR,USD,1.0925990895929225e-07,2.7711782960434827e-06,-7.589589702871971e-06,4.956888806914484e-09,8.34440837880164e-11
SNAP250328C00011000,2025-03-21 19:54:22+00:00,11.0,0.02,0.0,0.0,0.0,0.0,208.0,0,0.500005,False,REGULAR,USD,0.00015866602363928328,0.0014430429508922472,-0.015775428202817035,5.162324203830328e-06,1.2033160899494113e-07
SNAP250328C00011500,2025-03-21 15:22:52+00:00,11.5,0.01,0.0,0.0,0.0,0.0,22.0,0,0.500005,False,REGULAR,USD,2.309991107512307e-06,2.612159829419666e-05,-0.00028530559775565755,9.344708626551034e-08,1.755399478120034e-09
SNAP250328C00012000,2025-03-21 19:54:11+00:00,12.0,0.02,0.0,0.0,0.0,0.0,6.0,0,0.500005,False,REGULAR,USD,1.692863235270404e-08,2.2779575627469683e-07,-2.4865572883556544e-06,8.149137525113838e-10,1.288192466885985e-11
SNAP250328C00012500,2025-03-21 19:06:28+00:00,12.5,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,6.779470664824569e-11,1.0531097786814906e-09,-1.1490649036490291e-08,3.767382042520926e-12,5.1639560469064424e-14
SNAP250328C00013000,2025-03-21 19:48:04+00:00,13.0,0.01,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD,1.596609377632662e-13,2.8005565914534516e-12,-3.054781737280707e-11,1.0018676898922225e-14,1.2170477341856642e-16
SNAP250328C00013500,2025-03-17 13:31:45+00:00,13.5,0.03,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,2.3589153590707747e-16,4.59490781505215e-15,-5.010815752090559e-14,1.6437767020965168e-17,1.7991701379119578e-19
SNAP250328C00014000,2025-03-14 13:31:35+00:00,14.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,2.313989644689048e-19,4.94074195357779e-18,-5.386925806843265e-17,1.7674949838509063e-20,1.7657210396164216e-22
SNAP250328C00015000,2025-02-21 20:47:53+00:00,15.0,0.05,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,7.900933073112253e-26,1.968437596425178e-24,-2.14559202933566e-23,7.041864583082719e-27,6.03309530393299e-29
SNAP250328C00015500,2025-02-25 15:22:06+00:00,15.5,0.07,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,2.9843568209216735e-29,7.941480702873879e-28,-8.655253776958616e-27,2.8409755940631416e-30,2.2794408781764513e-32
SNAP250328C00020000,2025-02-28 14:30:02+00:00,20.0,0.04,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,1.464091434724414e-63,5.832503806154987e-62,-6.353351555358011e-61,2.086512778350052e-64,1.1197353062348974e-66
