contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
SNAP250328P00005000,2025-03-17 13:31:45+00:00,5.0,0.09,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD,-1.4064402022263363e-43,4.610624353103762e-42,-5.010390029334733e-41,1.6493991171974735e-44,-1.082047347517221e-46
SNAP250328P00006000,2025-03-17 13:31:45+00:00,6.0,0.29,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-7.5119440951206e-23,1.7532692960586416e-21,-1.9042698415951072e-20,6.2721241369009844e-24,-5.78684014771244e-26
SNAP250328P00006500,2025-03-17 16:50:29+00:00,6.5,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,-5.970980919990785e-16,1.1472834274985501e-14,-1.2455960899508845e-13,4.1042777020373176e-17,-4.604156049550555e-19
SNAP250328P00007000,2025-03-21 19:54:11+00:00,7.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,-9.438833644608997e-11,1.4551676742995393e-09,-1.5789825913169606e-08,5.2056990410598854e-12,-7.28772768219934e-14
SNAP250328P00007500,2025-03-21 17:11:40+00:00,7.5,0.01,0.0,0.0,0.0,0.0,25.0,0,0.500005,False,REGULAR,USD,-6.229318599102802e-07,7.42306542332298e-06,-8.047968110329934e-05,2.6555183459884165e-08,-4.818788613894054e-10
SNAP250328P00008000,2025-03-21 19:56:28+00:00,8.0,0.02,0.0,0.0,0.0,0.0,54.0,0,0.500005,False,REGULAR,USD,-0.00030800974179365844,0.0026802061578261086,-0.02901883660298705,9.588136729572616e-06,-2.389658991044151e-07
SNAP250328P00008500,2025-03-21 19:43:03+00:00,8.5,0.04,0.0,0.0,0.0,0.0,199.0,0,0.2500075,False,REGULAR,USD,-1.73616838878614e-05,0.00035789749367419113,-0.0009654994573803333,6.401818616107222e-07,-1.338027197272726e-08
SNAP250328P00009000,2025-03-21 19:59:01+00:00,9.0,0.13,0.0,0.0,0.0,0.0,2593.0,0,0.12500875,False,REGULAR,USD,-0.0006424276643692325,0.021189740904669983,-0.014111907900591417,1.8952117036873347e-05,-4.941477834424043e-07
SNAP250328P00009500,2025-03-21 19:58:35+00:00,9.5,0.36,0.0,0.0,0.0,0.0,326.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.4748048346257689,0.0,-0.0007805010980149625
SNAP250328P00010000,2025-03-21 19:39:41+00:00,10.0,0.73,0.0,0.0,0.0,0.0,2574.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.4997945627639672,0.0,-0.0008215801031736447
SNAP250328P00010500,2025-03-21 18:43:39+00:00,10.5,1.19,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.5247842909021656,0.0,-0.0008626591083323269
SNAP250328P00011000,2025-03-21 17:16:39+00:00,11.0,1.74,0.0,0.0,0.0,0.0,609.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.5497740190403639,0.0,-0.0009037381134910091
SNAP250328P00011500,2025-03-21 19:57:29+00:00,11.5,2.24,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.5747637471785624,0.0,-0.0009448171186496913
SNAP250328P00012000,2025-03-20 16:09:18+00:00,12.0,2.55,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.5997534753167607,0.0,-0.0009858961238083735
SNAP250328P00012500,2025-02-21 15:45:48+00:00,12.5,2.04,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.624743203454959,0.0,-0.0010269751289670559
SNAP250328P00013000,2025-02-27 17:18:00+00:00,13.0,2.85,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.6497329315931574,0.0,-0.001068054134125738
SNAP250328P00013500,2025-02-20 14:39:20+00:00,13.5,2.85,4.05,4.35,0.0,0.0,,0,1.71875140625,True,REGULAR,USD,-0.9890028053922828,0.019915767700086788,-1.8908335321811864,0.0002449073331081793,-0.0011011287268508291
SNAP250328P00015000,2025-03-11 16:39:04+00:00,15.0,6.0,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.7496918441459508,0.0,-0.001232370154760467
SNAP250328P00020000,2025-03-21 16:55:52+00:00,20.0,10.65,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,0.9995891255279344,0.0,-0.0016431602063472894
