contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
TSLA250328C00100000,2025-03-21 14:32:24+00:00,100.0,139.45,0.0,0.0,0.0,0.0,11,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-4.997945627639672,0.0,0.008215801031736447
TSLA250328C00110000,2025-03-20 13:31:05+00:00,110.0,124.05,0.0,0.0,0.0,0.0,13,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-5.49774019040364,0.0,0.009037381134910092
TSLA250328C00120000,2025-03-21 19:34:55+00:00,120.0,125.3,0.0,0.0,0.0,0.0,34,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-5.997534753167606,0.0,0.009858961238083736
TSLA250328C00130000,2025-03-21 15:29:06+00:00,130.0,110.35,0.0,0.0,0.0,0.0,20,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-6.497329315931574,0.0,0.010680541341257378
TSLA250328C00140000,2025-03-21 15:37:15+00:00,140.0,100.75,0.0,0.0,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-6.997123878695541,0.0,0.011502121444431026
TSLA250328C00150000,2025-03-21 19:58:37+00:00,150.0,98.77,0.0,0.0,0.0,0.0,52,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-7.496918441459508,0.0,0.01232370154760467
TSLA250328C00155000,2025-03-19 16:41:57+00:00,155.0,79.9,0.0,0.0,0.0,0.0,38,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-7.746815722841492,0.0,0.012734491599191494
TSLA250328C00160000,2025-03-21 14:08:51+00:00,160.0,80.03,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-7.9967130042234755,0.0,0.013145281650778315
TSLA250328C00162500,2025-03-21 17:44:18+00:00,162.5,85.11,0.0,0.0,0.0,0.0,36,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-8.121661644914468,0.0,0.013350676676571725
TSLA250328C00165000,2025-03-21 19:58:56+00:00,165.0,83.78,0.0,0.0,0.0,0.0,19,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-8.24661028560546,0.0,0.013556071702365138
TSLA250328C00167500,2025-03-21 18:00:50+00:00,167.5,79.4,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-8.371558926296451,0.0,0.013761466728158549
TSLA250328C00170000,2025-03-21 18:42:03+00:00,170.0,77.33,0.0,0.0,0.0,0.0,33,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-8.496507566987443,0.0,0.013966861753951959
TSLA250328C00172500,2025-03-21 13:34:18+00:00,172.5,68.61,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-8.621456207678435,0.0,0.014172256779745372
TSLA250328C00175000,2025-03-21 18:38:05+00:00,175.0,71.72,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-8.746404848369426,0.0,0.01437765180553878
TSLA250328C00177500,2025-03-21 17:46:39+00:00,177.5,70.05,0.0,0.0,0.0,0.0,98,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-8.871353489060418,0.0,0.014583046831332193
TSLA250328C00180000,2025-03-21 17:04:17+00:00,180.0,65.95,0.0,0.0,0.0,0.0,17,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-8.99630212975141,0.0,0.014788441857125604
TSLA250328C00182500,2025-03-21 13:53:27+00:00,182.5,59.7,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-9.121250770442401,0.0,0.014993836882919014
TSLA250328C00185000,2025-03-21 19:58:04+00:00,185.0,63.77,0.0,0.0,0.0,0.0,782,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-9.246199411133393,0.0,0.015199231908712427
TSLA250328C00187500,2025-03-21 19:59:43+00:00,187.5,63.3,0.0,0.0,0.0,0.0,18,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-9.371148051824385,0.0,0.015404626934505838
TSLA250328C00190000,2025-03-21 19:50:00+00:00,190.0,57.8,0.0,0.0,0.0,0.0,112,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-9.496096692515378,0.0,0.015610021960299248
TSLA250328C00192500,2025-03-21 19:32:28+00:00,192.5,52.92,0.0,0.0,0.0,0.0,10,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-9.62104533320637,0.0,0.01581541698609266
TSLA250328C00195000,2025-03-21 19:20:08+00:00,195.0,50.47,0.0,0.0,0.0,0.0,171,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-9.745993973897361,0.0,0.01602081201188607
TSLA250328C00197500,2025-03-21 19:04:32+00:00,197.5,48.2,0.0,0.0,0.0,0.0,49,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-9.870942614588353,0.0,0.01622620703767948
TSLA250328C00200000,2025-03-21 19:58:47+00:00,200.0,49.17,0.0,0.0,0.0,0.0,394,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-9.995891255279345,0.0,0.016431602063472894
TSLA250328C00202500,2025-03-21 19:29:13+00:00,202.5,43.22,0.0,0.0,0.0,0.0,9,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-10.120839895970336,0.0,0.016636997089266303
TSLA250328C00205000,2025-03-21 19:29:13+00:00,205.0,40.76,0.0,0.0,0.0,0.0,95,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-10.245788536661328,0.0,0.016842392115059716
TSLA250328C00207500,2025-03-21 18:11:16+00:00,207.5,39.95,0.0,0.0,0.0,0.0,35,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-10.37073717735232,0.0,0.01704778714085313
TSLA250328C00210000,2025-03-21 19:59:55+00:00,210.0,39.7,0.0,0.0,0.0,0.0,430,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-10.495685818043311,0.0,0.017253182166646536
TSLA250328C00212500,2025-03-21 19:59:03+00:00,212.5,37.49,0.0,0.0,0.0,0.0,2350,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-10.620634458734303,0.0,0.01745857719243995
TSLA250328C00215000,2025-03-21 19:59:55+00:00,215.0,34.95,0.0,0.0,0.0,0.0,380,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-10.745583099425295,0.0,0.01766397221823336
TSLA250328C00217500,2025-03-21 19:59:19+00:00,217.5,33.12,0.0,0.0,0.0,0.0,153,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-10.870531740116286,0.0,0.01786936724402677
TSLA250328C00220000,2025-03-21 19:59:47+00:00,220.0,30.1,0.0,0.0,0.0,0.0,2333,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-10.99548038080728,0.0,0.018074762269820185
TSLA250328C00222500,2025-03-21 19:55:00+00:00,222.5,27.05,0.0,0.0,0.0,0.0,533,0,1.0000000000000003e-05,True,REGULAR,USD,1.0,0.0,-11.120429021498271,0.0,0.018280157295613594
