contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
TSLA250328P00100000,2025-03-21 19:58:54+00:00,100.0,0.03,0.0,0.0,0.0,0.0,27602.0,0,0.500005,False,REGULAR,USD,-1.9645344196185026e-90,3.5165258133954583e-90,-2.716612994413593e-86,8.939290807713343e-90,-4.0249040143921245e-92
TSLA250328P00110000,2025-03-21 19:54:06+00:00,110.0,0.05,0.0,0.0,0.0,0.0,6867.0,0,0.500005,False,REGULAR,USD,-5.80092393501927e-73,9.304765767003051e-73,-7.187434599761179e-69,2.3653461257712715e-72,-1.188791025385782e-74
TSLA250328P00120000,2025-03-21 19:55:32+00:00,120.0,0.03,0.0,0.0,0.0,0.0,827.0,0,0.500005,False,REGULAR,USD,-1.0994695986581274e-58,1.5770039517871332e-58,-1.2180059252715448e-54,4.008870595016728e-58,-2.2538208670187983e-60
TSLA250328P00130000,2025-03-21 19:59:56+00:00,130.0,0.06,0.0,0.0,0.0,0.0,7273.0,0,0.500005,False,REGULAR,USD,-5.85677930794099e-47,7.487135770221281e-47,-5.781925557227558e-43,1.9032899946841406e-46,-1.2009975354588428e-48
TSLA250328P00140000,2025-03-21 19:59:53+00:00,140.0,0.06,0.0,0.0,0.0,0.0,2755.0,0,0.500005,False,REGULAR,USD,-2.6494963952809536e-37,3.004879414014234e-37,-2.3201378676945978e-33,7.638644602482754e-37,-5.435232500667358e-39
TSLA250328P00150000,2025-03-21 19:59:54+00:00,150.0,0.08,0.0,0.0,0.0,0.0,19340.0,0,0.500005,False,REGULAR,USD,-2.3720755045261794e-29,2.3721793649377603e-29,-1.8312639492972984e-25,6.03027030555475e-29,-4.868401174439776e-31
TSLA250328P00155000,2025-03-21 19:59:55+00:00,155.0,0.11,0.0,0.0,0.0,0.0,1140.0,0,0.500005,False,REGULAR,USD,-6.37246812838814e-26,5.967211043949565e-26,-4.606031284798455e-22,1.5169129323511986e-25,-1.3082231021587874e-27
TSLA250328P00157500,2025-03-21 19:59:58+00:00,157.5,0.11,0.0,0.0,0.0,0.0,794.0,0,0.500005,False,REGULAR,USD,-2.4879173468573438e-24,2.2525034416953913e-24,-1.7385817651326656e-20,5.7260445050587396e-24,-5.108255136554118e-26
TSLA250328P00160000,2025-03-21 19:59:34+00:00,160.0,0.12,0.0,0.0,0.0,0.0,2120.0,0,0.500005,False,REGULAR,USD,-8.127399684754487e-23,7.110309176443468e-23,-5.487707304898039e-19,1.8074976506317205e-22,-1.6689907660795857e-24
TSLA250328P00162500,2025-03-21 19:59:57+00:00,162.5,0.15,0.0,0.0,0.0,0.0,2459.0,0,0.500005,False,REGULAR,USD,-2.238169393786909e-21,1.8908709692604788e-21,-1.4592700065868808e-17,4.806745740268322e-21,-4.5968930351128774e-23
TSLA250328P00165000,2025-03-21 19:59:58+00:00,165.0,0.17,0.0,0.0,0.0,0.0,2318.0,0,0.500005,False,REGULAR,USD,-5.232716517040586e-20,4.2661382644644426e-20,-3.2921406442172057e-16,1.0844865812356388e-19,-1.0749085218698422e-21
TSLA250328P00167500,2025-03-21 19:59:54+00:00,167.5,0.19,0.0,0.0,0.0,0.0,1856.0,0,0.500005,False,REGULAR,USD,-1.0455919004384638e-18,8.220459434377532e-19,-6.343186463251004e-15,2.089706754802871e-18,-2.1482429350442683e-20
TSLA250328P00170000,2025-03-21 19:59:57+00:00,170.0,0.18,0.0,0.0,0.0,0.0,8179.0,0,0.500005,False,REGULAR,USD,-1.7970371512096885e-17,1.3613936173746282e-17,-1.0504154834836089e-13,3.4607718228934946e-17,-3.6928314971897586e-19
TSLA250328P00172500,2025-03-21 19:59:57+00:00,172.5,0.21,0.0,0.0,0.0,0.0,2113.0,0,0.500005,False,REGULAR,USD,-2.672587821823792e-16,1.9493761375492617e-16,-1.503962380531123e-12,4.955470572912917e-16,-5.493136908847158e-18
TSLA250328P00175000,2025-03-21 19:59:54+00:00,175.0,0.21,0.0,0.0,0.0,0.0,4070.0,0,0.500005,False,REGULAR,USD,-3.4592148615351264e-15,2.4271591659778384e-15,-1.872411129099398e-11,6.170033371753579e-15,-7.11143341450061e-17
TSLA250328P00177500,2025-03-21 19:59:49+00:00,177.5,0.22,0.0,0.0,0.0,0.0,606.0,0,0.500005,False,REGULAR,USD,-3.9179874430391485e-14,2.642011385561578e-14,-2.0379651432595088e-10,6.716204955145775e-14,-8.056371047785531e-16
TSLA250328P00180000,2025-03-21 19:59:57+00:00,180.0,0.25,0.0,0.0,0.0,0.0,10643.0,0,0.500005,False,REGULAR,USD,-3.903412909395247e-13,2.527158632863066e-13,-1.9491753337735927e-09,6.424240041216414e-13,-8.028305468260267e-15
TSLA250328P00182500,2025-03-21 19:59:41+00:00,182.5,0.24,0.0,0.0,0.0,0.0,678.0,0,0.500005,False,REGULAR,USD,-3.4377313924073178e-12,2.134572005647067e-12,-1.6461995733691522e-08,5.426253330999564e-12,-7.072306296597866e-14
TSLA250328P00185000,2025-03-21 19:59:41+00:00,185.0,0.26,0.0,0.0,0.0,0.0,3385.0,0,0.500005,False,REGULAR,USD,-2.689034202003905e-11,1.599509343576661e-11,-1.2334124711209445e-07,4.0660811069321394e-11,-5.533534083750253e-13
TSLA250328P00187500,2025-03-21 19:59:49+00:00,187.5,0.3,0.0,0.0,0.0,0.0,521.0,0,0.500005,False,REGULAR,USD,-1.8766183309727845e-10,1.0680258733187475e-10,-8.234731333301798e-07,2.715007475670881e-10,-3.862847124578015e-12
TSLA250328P00190000,2025-03-21 19:59:57+00:00,190.0,0.34,0.0,0.0,0.0,0.0,3882.0,0,0.500005,False,REGULAR,USD,-1.173498505754259e-09,6.38156163399565e-10,-4.9196763069268666e-06,1.622244177373202e-09,-2.4162864400575973e-11
TSLA250328P00192500,2025-03-21 19:59:49+00:00,192.5,0.35,0.0,0.0,0.0,0.0,612.0,0,0.500005,False,REGULAR,USD,-6.602477664184183e-09,3.4258522349116954e-09,-2.6406775904519458e-05,8.708791294940045e-09,-1.3599316710970383e-10
TSLA250328P00195000,2025-03-21 19:59:57+00:00,195.0,0.39,0.0,0.0,0.0,0.0,3664.0,0,0.500005,False,REGULAR,USD,-3.3555566561416e-08,1.658719618230431e-08,-0.0001278355475192854,4.2165983765390856e-08,-6.914010670432531e-10
TSLA250328P00197500,2025-03-21 19:59:57+00:00,197.5,0.43,0.0,0.0,0.0,0.0,1280.0,0,0.500005,False,REGULAR,USD,-1.5463244258135108e-07,7.269939236023324e-08,-0.0005601900205933366,1.8480768927576042e-07,-3.1873789386029867e-09
TSLA250328P00200000,2025-03-21 19:59:57+00:00,200.0,0.48,0.0,0.0,0.0,0.0,18706.0,0,0.500005,False,REGULAR,USD,-6.484775527414374e-07,2.8944198984175095e-07,-0.002229899497059778,7.357847649809505e-07,-1.337239979816022e-08
TSLA250328P00202500,2025-03-21 19:59:49+00:00,202.5,0.52,0.0,0.0,0.0,0.0,2599.0,0,0.500005,False,REGULAR,USD,-2.4835160896889633e-06,1.050309921425173e-06,-0.008090077592902317,2.66997210430837e-06,-5.12363331843495e-08
TSLA250328P00205000,2025-03-21 19:59:57+00:00,205.0,0.59,0.0,0.0,0.0,0.0,5003.0,0,0.2500075,False,REGULAR,USD,-5.801249947898019e-18,8.92307974033922e-18,-1.7177206059427054e-14,1.1341819203998268e-17,-1.1889553504902625e-19
TSLA250328P00207500,2025-03-21 19:59:59+00:00,207.5,0.65,0.0,0.0,0.0,0.0,1183.0,0,0.2500075,False,REGULAR,USD,-5.200695353087902e-16,7.512589633531769e-16,-1.4458012610630197e-12,9.548993829131658e-16,-1.0660467509751069e-17
TSLA250328P00210000,2025-03-21 19:59:58+00:00,210.0,0.75,0.0,0.0,0.0,0.0,9534.0,0,0.2500075,False,REGULAR,USD,-3.3494344624671005e-14,4.5291885507996405e-14,-8.713767150162129e-11,5.756895509042665e-14,-6.866974498277932e-16
TSLA250328P00212500,2025-03-21 19:59:57+00:00,212.5,0.85,0.0,0.0,0.0,0.0,1953.0,0,0.2500075,False,REGULAR,USD,-1.567804899728209e-12,1.9773121306130536e-12,-3.802857286327852e-09,2.513293318886479e-12,-3.214954271727478e-14
TSLA250328P00215000,2025-03-21 19:59:59+00:00,215.0,0.98,0.0,0.0,0.0,0.0,8444.0,0,0.2500075,False,REGULAR,USD,-5.393742888610123e-11,6.318561410225753e-11,-1.2147343847827701e-07,8.03130569596551e-11,-1.106301256584458e-12
TSLA250328P00217500,2025-03-21 19:59:49+00:00,217.5,1.13,0.0,0.0,0.0,0.0,2499.0,0,0.2500075,False,REGULAR,USD,-1.3787282245462915e-09,1.4932062176934569e-09,-2.8693644539366826e-06,1.897962973344609e-09,-2.8286294661209e-11
TSLA250328P00220000,2025-03-21 19:59:57+00:00,220.0,1.31,0.0,0.0,0.0,0.0,19427.0,0,0.2500075,False,REGULAR,USD,-2.6462758315086306e-08,2.6355226139371274e-08,-5.061788516176532e-05,3.349921984916327e-08,-5.430796067004322e-10
TSLA250328P00222500,2025-03-21 19:59:59+00:00,222.5,1.56,0.0,0.0,0.0,0.0,4029.0,0,0.2500075,False,REGULAR,USD,-3.853233905860679e-07,3.5072887290994166e-07,-0.0006731946699225298,4.457993856295427e-07,-7.910523812661535e-09
TSLA250328P00225000,2025-03-21 19:59:59+00:00,225.0,1.82,0.0,0.0,0.0,0.0,13744.0,0,0.2500075,False,REGULAR,USD,-4.299618178919717e-06,3.5512476646714008e-06,-0.006811328655650631,4.513868544650358e-06,-8.83052623410471e-08
TSLA250328P00227500,2025-03-21 19:59:56+00:00,227.5,2.15,0.0,0.0,0.0,0.0,5676.0,0,0.12500875,False,REGULAR,USD,-1.3178690810025113e-15,3.754281462117252e-15,-1.7981189155270343e-12,2.386064340315185e-15,-2.6977290088907956e-17
TSLA250328P00230000,2025-03-21 19:59:59+00:00,230.0,2.5,0.0,0.0,0.0,0.0,28081.0,0,0.12500875,False,REGULAR,USD,-1.9232857562496952e-12,4.831804340351811e-12,-2.311366905767e-09,3.070892833216543e-12,-3.937750228687259e-14
TSLA250328P00232500,2025-03-21 19:59:59+00:00,232.5,3.05,0.0,0.0,0.0,0.0,7869.0,0,0.12500875,False,REGULAR,USD,-1.0570021233156028e-09,2.305312954588519e-09,-1.101042438254126e-06,1.4651605346361513e-09,-2.1646094629707638e-11
TSLA250328P00235000,2025-03-21 19:59:59+00:00,235.0,3.5,0.0,0.0,0.0,0.0,24102.0,0,0.12500875,False,REGULAR,USD,-2.2665735425374032e-07,4.205660905475337e-07,-0.0002004446903707553,2.6729422434814153e-07,-4.643047522401379e-09
TSLA250328P00237500,2025-03-21 19:59:55+00:00,237.5,4.2,0.0,0.0,0.0,0.0,17251.0,0,0.12500875,False,REGULAR,USD,-1.9666337290302338e-05,3.0224027778747422e-05,-0.014362790506896145,1.920912846606185e-05,-4.030247946394966e-07
TSLA250328P00240000,2025-03-21 19:59:59+00:00,240.0,4.87,0.0,0.0,0.0,0.0,48503.0,0,0.062509375,False,REGULAR,USD,-9.711701121888949e-11,4.48975417884597e-10,-5.304997477556434e-08,1.4268641574203005e-10,-1.9869487030155538e-12
TSLA250328P00242500,2025-03-21 19:59:59+00:00,242.5,5.7,0.0,0.0,0.0,0.0,14847.0,0,0.062509375,False,REGULAR,USD,-2.849785529423642e-06,9.584050749754713e-06,-0.0011227537166951782,3.045854617643491e-06,-5.8322136905511865e-08
TSLA250328P00245000,2025-03-21 19:59:59+00:00,245.0,6.65,0.0,0.0,0.0,0.0,23016.0,0,0.0312596875,False,REGULAR,USD,-2.523059980747521e-08,2.0126350486829985e-07,-5.768712982771754e-06,3.198634168708696e-08,-5.160145919750576e-10
TSLA250328P00247500,2025-03-21 19:59:59+00:00,247.5,7.85,0.0,0.0,0.0,0.0,10560.0,0,0.015634843750000002,False,REGULAR,USD,-9.523737657792952e-05,0.0010725394185918877,-0.006924079888152463,8.525536473238361e-05,-1.947493933191259e-06
TSLA250328P00250000,2025-03-21 19:59:59+00:00,250.0,9.12,0.0,0.0,0.0,0.0,9440.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,12.494864069099181,0.0,-0.020539502579341118
TSLA250328P00252500,2025-03-21 19:59:38+00:00,252.5,10.25,0.0,0.0,0.0,0.0,1436.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,12.619812709790173,0.0,-0.020744897605134524
TSLA250328P00255000,2025-03-21 19:59:47+00:00,255.0,11.88,0.0,0.0,0.0,0.0,2483.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,12.744761350481165,0.0,-0.02095029263092794
TSLA250328P00257500,2025-03-21 19:59:56+00:00,257.5,13.5,0.0,0.0,0.0,0.0,838.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,12.869709991172156,0.0,-0.02115568765672135
TSLA250328P00260000,2025-03-21 19:59:48+00:00,260.0,15.15,0.0,0.0,0.0,0.0,2828.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,12.994658631863148,0.0,-0.021361082682514757
TSLA250328P00262500,2025-03-21 19:58:11+00:00,262.5,17.38,0.0,0.0,0.0,0.0,555.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,13.11960727255414,0.0,-0.021566477708308173
TSLA250328P00265000,2025-03-21 19:58:40+00:00,265.0,19.0,0.0,0.0,0.0,0.0,556.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,13.244555913245131,0.0,-0.021771872734101586
TSLA250328P00267500,2025-03-21 19:59:18+00:00,267.5,20.45,0.0,0.0,0.0,0.0,188.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,13.369504553936123,0.0,-0.021977267759894992
TSLA250328P00270000,2025-03-21 19:59:49+00:00,270.0,22.75,0.0,0.0,0.0,0.0,626.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,13.494453194627114,0.0,-0.02218266278568841
TSLA250328P00272500,2025-03-21 19:58:19+00:00,272.5,25.77,0.0,0.0,0.0,0.0,459.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,13.619401835318106,0.0,-0.02238805781148182
TSLA250328P00275000,2025-03-21 19:59:30+00:00,275.0,26.8,0.0,0.0,0.0,0.0,315.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,13.744350476009098,0.0,-0.02259345283727523
TSLA250328P00277500,2025-03-21 19:57:25+00:00,277.5,29.9,0.0,0.0,0.0,0.0,33.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,13.869299116700091,0.0,-0.022798847863068638
TSLA250328P00280000,2025-03-21 19:59:21+00:00,280.0,31.35,0.0,0.0,0.0,0.0,484.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,13.994247757391083,0.0,-0.02300424288886205
TSLA250328P00282500,2025-03-21 18:09:30+00:00,282.5,36.9,0.0,0.0,0.0,0.0,34.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,14.119196398082074,0.0,-0.023209637914655464
TSLA250328P00285000,2025-03-21 19:58:31+00:00,285.0,37.59,0.0,0.0,0.0,0.0,46.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,14.244145038773066,0.0,-0.02341503294044887
TSLA250328P00287500,2025-03-21 19:50:53+00:00,287.5,39.95,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,14.369093679464058,0.0,-0.023620427966242287
TSLA250328P00290000,2025-03-21 19:54:00+00:00,290.0,42.27,0.0,0.0,0.0,0.0,202.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,14.49404232015505,0.0,-0.023825822992035697
TSLA250328P00292500,2025-03-21 19:46:36+00:00,292.5,45.63,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,14.618990960846041,0.0,-0.024031218017829103
TSLA250328P00295000,2025-03-21 19:59:48+00:00,295.0,46.43,0.0,0.0,0.0,0.0,145.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,14.743939601537033,0.0,-0.02423661304362252
TSLA250328P00297500,2025-03-21 19:50:14+00:00,297.5,49.9,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,14.868888242228024,0.0,-0.02444200806941593
TSLA250328P00300000,2025-03-21 19:49:27+00:00,300.0,53.35,0.0,0.0,0.0,0.0,162.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,14.993836882919016,0.0,-0.02464740309520934
TSLA250328P00302500,2025-03-21 18:03:50+00:00,302.5,55.0,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,15.118785523610008,0.0,-0.024852798121002752
TSLA250328P00305000,2025-03-21 19:58:14+00:00,305.0,56.83,0.0,0.0,0.0,0.0,43.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,15.243734164301,0.0,-0.025058193146796165
TSLA250328P00307500,2025-03-21 14:21:11+00:00,307.5,70.9,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,15.368682804991993,0.0,-0.02526358817258957
TSLA250328P00310000,2025-03-21 19:13:49+00:00,310.0,64.8,0.0,0.0,0.0,0.0,63.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,15.493631445682984,0.0,-0.025468983198382988
TSLA250328P00315000,2025-03-21 18:22:05+00:00,315.0,68.6,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,15.743528727064968,0.0,-0.025879773249969807
TSLA250328P00320000,2025-03-21 19:38:33+00:00,320.0,73.99,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,15.993426008446951,0.0,-0.02629056330155663
TSLA250328P00325000,2025-03-21 17:18:25+00:00,325.0,80.5,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,16.243323289828936,0.0,-0.02670135335314345
TSLA250328P00330000,2025-03-20 19:35:02+00:00,330.0,95.55,0.0,0.0,0.0,0.0,293.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,16.49322057121092,0.0,-0.027112143404730275
TSLA250328P00335000,2025-03-21 19:14:43+00:00,335.0,90.4,0.0,0.0,0.0,0.0,29.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,16.743117852592903,0.0,-0.027522933456317098
TSLA250328P00340000,2025-03-20 18:59:06+00:00,340.0,106.4,0.0,0.0,0.0,0.0,18.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,16.993015133974886,0.0,-0.027933723507903917
TSLA250328P00345000,2025-03-21 19:13:26+00:00,345.0,100.85,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,17.24291241535687,0.0,-0.028344513559490744
TSLA250328P00350000,2025-03-21 19:15:55+00:00,350.0,105.8,0.0,0.0,0.0,0.0,54.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,17.492809696738853,0.0,-0.02875530361107756
TSLA250328P00355000,2025-03-21 16:02:33+00:00,355.0,114.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,17.742706978120836,0.0,-0.029166093662664386
TSLA250328P00360000,2025-03-21 15:30:27+00:00,360.0,119.4,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,17.99260425950282,0.0,-0.02957688371425121
TSLA250328P00365000,2025-03-20 19:51:42+00:00,365.0,130.06,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,18.242501540884803,0.0,-0.029987673765838028
TSLA250328P00370000,2025-03-20 19:51:42+00:00,370.0,135.08,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,18.492398822266786,0.0,-0.030398463817424854
TSLA250328P00375000,2025-03-12 14:03:53+00:00,375.0,127.3,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,18.74229610364877,0.0,-0.030809253869011677
TSLA250328P00380000,2025-03-20 19:55:00+00:00,380.0,145.06,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,18.992193385030756,0.0,-0.031220043920598496
TSLA250328P00385000,2025-03-12 17:18:53+00:00,385.0,135.45,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,19.24209066641274,0.0,-0.03163083397218532
TSLA250328P00390000,2025-03-20 19:51:42+00:00,390.0,155.05,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,-1.0,0.0,19.491987947794723,0.0,-0.03204162402377214
